id,relevance
1,2.060851299
4,2.060851299
5,2.238490231
6,2.747009444
7,2.326522989
8,2.060851299
10,2.65732736
11,2.65732736
12,2.129910759
13,2.722168561
14,2.704444444
15,2.446791721
19,2.339959908
22,2.65732736
24,2.310355216
25,2.129910759
26,2.060851299
28,2.339959908
29,2.060851299
30,2.060851299
31,2.65732736
32,2.65732736
33,2.060851299
36,2.339959908
39,2.216115775
40,2.65732736
41,2.060851299
42,2.339959908
43,2.65732736
44,2.322268103
45,2.446791721
46,2.322268103
47,2.060851299
49,2.339959908
50,2.339959908
52,2.339959908
53,2.339959908
54,2.216115775
55,2.446791721
56,2.349440994
57,2.129910759
58,2.310355216
59,2.65732736
60,2.060851299
61,2.65732736
62,2.339959908
63,2.65732736
64,2.65732736
66,2.722168561
67,2.310355216
68,2.060851299
70,2.060851299
71,2.339959908
72,2.060851299
73,2.060851299
74,2.060851299
76,2.060851299
77,2.060851299
78,2.060851299
79,2.060851299
80,2.060851299
82,2.339959908
83,2.339959908
84,2.060851299
86,2.310355216
87,2.65732736
89,2.339959908
91,2.129910759
93,2.060851299
94,2.060851299
95,2.060851299
96,2.060851299
97,2.060851299
98,2.060851299
99,2.060851299
100,2.63075067
102,2.339959908
103,2.060851299
104,2.060851299
107,2.65732736
108,2.060851299
109,2.722168561
110,2.310355216
111,2.310355216
112,2.060851299
115,2.060851299
116,2.310355216
118,2.63075067
119,2.446791721
121,2.322268103
124,2.339959908
126,2.339959908
128,2.216115775
129,2.322268103
130,2.339959908
131,2.339959908
132,2.339959908
133,2.65732736
134,2.229888889
135,2.326522989
137,2.339959908
139,2.349440994
140,2.060851299
141,2.060851299
142,2.060851299
144,2.65732736
145,2.65732736
146,2.060851299
148,2.060851299
151,2.339959908
152,2.060851299
153,2.339959908
154,2.060851299
155,2.060851299
156,2.034962406
159,2.060851299
160,2.060851299
161,2.216115775
163,2.310355216
167,2.339959908
168,2.339959908
169,2.060851299
170,2.65732736
171,2.65732736
173,2.339959908
174,2.060851299
175,2.216115775
176,2.129910759
180,2.060851299
183,2.216115775
184,2.060851299
185,2.060851299
187,2.414933333
188,2.060851299
189,2.060851299
190,2.060851299
192,2.060851299
194,2.339959908
196,2.060851299
197,2.060851299
198,2.65732736
199,2.65732736
200,2.65732736
204,2.747009444
206,2.65732736
207,2.349440994
208,2.349440994
209,2.171038961
211,2.339959908
212,2.216115775
213,2.65732736
216,2.238490231
217,2.319659632
218,2.339959908
219,2.310355216
220,2.216115775
221,2.339959908
222,2.216115775
224,2.060851299
225,2.339959908
228,2.339959908
229,2.310355216
230,2.65732736
231,2.216115775
232,2.216115775
234,2.65732736
235,2.65732736
236,2.310355216
237,2.310355216
238,2.65732736
239,2.129910759
240,2.216115775
242,2.722168561
243,2.339959908
244,2.310355216
246,2.339959908
247,2.216115775
248,2.060851299
