id,relevance
1,2.061027137
4,2.061027137
5,2.243606132
6,2.743502964
7,2.327176917
8,2.061027137
10,2.657987025
11,2.657987025
12,2.129660211
13,2.720760765
14,2.705035265
15,2.449141536
19,2.340470501
22,2.657987025
24,2.310530296
25,2.129660211
26,2.061027137
28,2.340470501
29,2.061027137
30,2.061027137
31,2.657987025
32,2.657987025
33,2.061027137
36,2.340470501
39,2.215536463
40,2.657987025
41,2.061027137
42,2.340470501
43,2.657987025
44,2.319952055
45,2.449141536
46,2.319952055
47,2.061027137
49,2.340470501
50,2.340470501
52,2.340470501
53,2.340470501
54,2.215536463
55,2.415105011
56,2.340470501
57,2.129660211
58,2.310530296
59,2.657987025
60,2.061027137
61,2.657987025
62,2.340470501
63,2.657987025
64,2.657987025
66,2.720760765
67,2.310530296
68,2.061027137
70,2.061027137
71,2.340470501
72,2.061027137
73,2.061027137
74,2.061027137
76,2.061027137
77,2.061027137
78,2.061027137
79,2.061027137
80,2.061027137
82,2.340470501
83,2.340470501
84,2.061027137
86,2.310530296
87,2.657987025
89,2.340470501
91,2.129660211
93,2.061027137
94,2.061027137
95,2.061027137
96,2.061027137
97,2.061027137
98,2.061027137
99,2.061027137
100,2.720760765
102,2.340470501
103,2.061027137
104,2.061027137
107,2.657987025
108,2.061027137
109,2.720760765
110,2.310530296
111,2.310530296
112,2.061027137
115,2.061027137
116,2.310530296
118,2.625567364
119,2.449141536
121,2.319952055
124,2.340470501
126,2.340470501
128,2.215536463
129,2.319952055
130,2.340470501
131,2.340470501
132,2.340470501
133,2.657987025
134,2.222127381
135,2.327176917
137,2.340470501
139,2.34714967
140,2.061027137
141,2.061027137
142,2.061027137
144,2.657987025
145,2.657987025
146,2.061027137
148,2.061027137
151,2.340470501
152,2.061027137
153,2.340470501
154,2.061027137
155,2.061027137
156,2.035218591
159,2.061027137
160,2.061027137
161,2.215536463
163,2.310530296
167,2.340470501
168,2.340470501
169,2.061027137
170,2.657987025
171,2.657987025
173,2.340470501
174,2.061027137
175,2.215536463
176,2.129660211
180,2.061027137
183,2.215536463
184,2.061027137
185,2.061027137
187,2.415105011
188,2.061027137
189,2.061027137
190,2.061027137
192,2.061027137
194,2.340470501
196,2.061027137
197,2.061027137
198,2.657987025
199,2.657987025
200,2.657987025
204,2.743502964
206,2.657987025
207,2.34714967
208,2.34714967
209,2.170291492
211,2.340470501
212,2.215536463
213,2.657987025
216,2.243606132
217,2.319185975
218,2.340470501
219,2.310530296
220,2.215536463
221,2.340470501
222,2.215536463
224,2.061027137
225,2.340470501
228,2.340470501
229,2.310530296
230,2.657987025
231,2.215536463
232,2.215536463
234,2.657987025
235,2.657987025
236,2.310530296
237,2.310530296
238,2.657987025
239,2.129660211
240,2.215536463
242,2.720760765
243,2.340470501
244,2.310530296
246,2.340470501
247,2.215536463
248,2.061027137
249,2.243606132
250,2.061027137
251,2.340470501
252,2.340470501
253,2.129660211
254,2.340470501
256,2.625567364
258,2.061027137
260,2.061027137
262,2.10879831
263,2.215536463
264,2.061027137
265,2.061027137
267,2.657987025
268,2.215536463
269,2.129660211
271,2.319185975
273,2.340470501
274,2.215536463
277,2.340470501
278,2.10879831
279,2.061027137
280,2.340470501
281,2.340470501
282,2.720760765
283,2.657987025
285,2.625567364
286,2.340470501
287,2.061027137
288,2.340470501
289,2.340470501
291,2.340470501
292,2.340470501
295,2.340470501
296,2.340470501
298,2.340470501
299,2.310530296
300,2.310530296
301,2.415105011
302,2.657987025
303,2.061027137
304,2.061027137
306,2.327176917
307,2.21239536
308,2.449141536
309,2.720760765
310,2.34714967
311,2.34714967
312,2.720760765
313,2.319952055
315,2.243606132
316,2.243606132
317,2.319952055
320,2.319952055
321,2.061027137
322,2.657987025
324,2.657987025
325,2.657987025
326,2.310530296
328,2.743502964
329,2.449141536
330,2.319952055
332,2.340470501
333,2.310530296
336,2.310530296
337,2.657987025
338,2.657987025
339,2.061027137
342,2.340470501
344,2.061027137
345,2.340470501
348,2.657987025
349,2.657987025
352,2.310530296
